TIC,TOI,GAIA,Teff
122612091,264,5065640460769428224,5773.47
159951311,265,4851398799032507776,5151.0
164767175,266,5140454049422547200,5784.0
166836920,267,4745660479479743488,6079.0
219253008,268,4779340346001388160,5835.0
220479565,269,4770828304936109056,3546.0
259377017,270,4781196115469953024,3532.0
259511357,271,4784439709132505344,6114.0
268766053,272,5136559128264765184,4960.0
279740441,273,4672194415343063040,4304.6
281979481,274,5216407178800201728,5164.0
373844472,275,4660192386982447232,5659.0
382188882,276,4769981165586553728,6443.0
439456714,277,2353440974955205632,3668.0
244161191,278,2431769083806305152,2950.0
122613513,279,5063070558501465856,4413.0
42054565,280,5011437114501852800,5456.0
38696105,281,4678368722887617792,6002.18
29781292,282,4668163021600295552,6315.0
382626661,283,5275527747224425344,5245.0
277103955,284,4660275674949257728,4658.0
220459976,285,4764216563561182336,3964.0
150030205,286,5482316880495405056,5116.0
2758565,287,2394278756660548224,5807.0
47316976,288,6608926350294211328,6530.0
201292545,289,4919562197762515456,5728.0
201233610,290,6524047767779694080,5736.0
49710555,291,2436669572771215232,5920.0
180285396,292,5001521581203667968,4463.0
355637190,293,6497143817757960832,5998.0
188570092,294,2594869603582993792,4521.0
327952677,295,2421050425984140288,5864.0
382463648,296,6528610363076404608,5290.0
115242351,297,5004925944080225792,4871.0
206686292,298,6602459366496935680,6273.0
156075294,299,4975111792941945728,5541.0
166697854,300,4743406244421179264,5776.5
144301052,301,6535464989145617920,6048.0
229111835,302,4927215760764862976,4130.0
145750719,303,2596986648798061952,5659.0
262530873,304,4935097025753197056,6292.0
102030574,305,4981939210393843584,5852.0
114749636,306,2340919358581488768,5909.0
9100874,307,2385268572403772032,5747.0
281710229,308,4920369131922734848,nan
228507250,309,2418627755190810624,nan
175477257,310,6550834448009961472,5798.0
434105231,311,2432077290659277952,4034.0
180145006,312,5001296593637539712,5755.0
9102327,313,2392761469269057408,5366.7
316769613,314,2324780379015431296,4822.0
66356824,315,5006829125692946944,5671.0
8988289,316,2435626548553370880,4245.0
402319411,317,2407896246825537280,5391.0
206352378,318,6498266006813326336,4696.0
389753172,319,6526627531298399360,4169.0
188593930,320,2409516201115269760,6011.0
175476629,321,6549059664444198656,5374.0
198077394,322,4778615286802076032,5868.2
251852984,323,2317187362168155264,4558.0
156002449,324,4926216270336265088,6113.0
66413476,325,5003442737254509952,4391.0
144336525,326,6525319284255935616,5423.9
206669860,327,6602443221715404288,5960.0
139357541,328,6529945032752271744,6074.0
169765334,329,2407507535105410944,5560.5
27966179,330,2340807311474086272,4314.0
262531275,331,4983894451305629056,5608.0
139285832,332,6529471108882243840,5190.0
224245334,333,6535747220036134272,6150.0
233964642,334,4700368198213628672,6185.0
41865539,335,5009138138767309312,6222.07
55452495,336,4663258615624221696,7874.0
155986102,337,4974517919223478656,5369.0
116156517,338,4994237247949280000,6561.0
69838258,339,6627988755183567616,6278.0
80439101,340,4979568762107037312,nan
33911302,341,2338973875834550656,4775.0
415969574,342,2402974759764634496,nan
66497310,343,2390762797648110336,5885.0
13023378,344,2379110340921352192,6149.0
308208458,345,2314986066874738304,5136.0
118327533,346,5001039273555456768,6177.0
224271611,347,6539116295462434304,5692.2
70785910,348,2320600658577841536,5879.0
382474101,349,,nan
199731190,350,4930844836331589376,5633.0
228381868,351,2415410962124813056,5570.3
47423120,352,6623319060581364992,5644.0
100099031,353,4931054568174608256,4965.0
100097716,354,4959658534969336320,5767.0
183593642,355,5013703860801457280,6049.0
369336146,356,4998657044174864640,5499.0
220016044,357,4938174764957963648,6300.3
321982642,358,4978073533668469888,5467.0
80432617,359,4986896324207614208,5573.0
13023738,360,6605538106429603968,5657.0
144276942,361,6534726465224796032,4097.0
305048116,362,2331750114504800640,5692.0
262530780,363,4935020472256089856,5177.0
47425697,364,6623268178103436672,6219.7
118586896,365,5000761646869322368,5808.0
251878904,366,5005376434610102912,5504.0
9033144,367,2392829604630205824,5954.5
77031413,368,2323985535188372480,5444.0
175482273,369,6550557882180448640,nan
251855940,370,2317155751208922112,5805.0
156016136,371,4926335842225710464,5389.0
441075486,372,2415963638517370240,5400.0
9032368,373,2433037576627154176,5997.0
183675732,374,6533378597112031616,5719.0
280097543,375,4638853885598035968,5001.63
144301273,376,6532317126010270208,5317.0
139285736,377,6529468772420035712,4781.0
20892672,378,2365656377341237120,nan
220396259,379,4775627123435383168,5895.2
100014359,380,4930157916442362880,nan
207084429,381,4917040330405933824,6049.08
229091748,382,4978552126168218496,5753.0
167418898,383,5280337144228825728,5951.01
155995204,384,4925896243732869376,5847.0
300810086,385,5273726953338660736,5159.0
238059180,386,5497685201192526976,8562.0
92359850,387,5101513745613343232,6342.0
422655579,388,2507901914613005056,6180.0
271900960,389,5214259282834615296,6790.0
250386181,390,2491782421314919040,6321.46
382391899,391,5160557726183065984,5518.0
328350926,392,3267099712746602240,5580.0
29960109,393,5157183324996789760,3450.0
9858404,394,5167486711022397696,6337.0
38541473,395,5115661505325351296,6053.05
178155732,396,5064574720469473792,6308.31
219379012,397,4785828357959075840,5651.08
1129033,398,5178405479960844160,5605.0
219388773,399,4773088660323124736,4752.8
35857242,400,2498515516990171392,6336.0
259701242,401,4782853697968813568,5995.0
120896927,402,5068777809824976256,5175.2
257567854,403,5086537022856406272,6153.0
166833457,404,4859136199796131200,5526.0
176984236,405,5281979161764966272,6138.0
153065527,406,4851053999056603904,3324.0
349518800,407,5291868311081819648,6317.0
176778112,408,5047972477144240512,5629.0
167754523,409,5479504437127465088,4986.0
206466531,410,4732891099328728832,6364.3
100990000,411,4848767461548943104,6161.0
7624182,412,4844367147295252864,8959.0
170634116,413,4884779765893739904,7002.0
325680697,414,5171630735987857152,5773.74
152476657,415,4837286842167819776,6572.0
49899799,416,3262082160152897408,6356.0
339733013,417,5485592673528401280,5905.84
178284730,418,5094154336330994688,5348.0
279251651,419,5480636002093933312,3726.0
408159788,420,3241645571888331648,5567.0
94986319,421,2984582227215748864,5320.0
117979455,422,2980377518655206784,5999.0
43647325,423,3211188618762023424,6072.0
117979694,424,2980298010220642432,5059.0
169532369,425,2988427421239442432,6820.6
189013224,426,2983316311375470976,5731.0
70914192,427,5093541152441483008,5452.0
117979850,428,2980377488593201920,5801.0
259592689,429,4777069717050967040,5216.0
459942762,430,3272558306943432960,6071.74
31374837,431,2908664557091200768,4891.0
38686737,432,3194187007902012160,6689.0
188989177,433,2983552564639203584,8242.0
78055054,434,2905983466705521792,5142.0
44647437,435,5082797618168232320,4040.0
44745077,436,4890868448971525760,3505.0
32499655,437,2907577758566408960,4840.0
468880077,438,36068452454218880,5210.75
13021029,439,2959177048983750016,6244.52
143350972,440,2971536418673198976,5771.46
316916655,441,2987545475475708416,6824.0
70899085,442,3189306030970782208,3779.0
117979897,443,2980392087185289216,6030.0
179034327,444,4895489043507741440,5091.0
14091704,445,4823949731763979008,6240.9
1449640,446,4824755364549309824,6411.0
14091633,447,4823999931341640832,6434.0
1528696,448,4875693023844840448,4669.0
139528693,449,5089851638095503616,6291.0
77951245,450,4827527233363019776,3160.0
257605131,451,4844691297067063424,5481.0
139733308,452,4899428146994060800,5258.0
452808876,453,3231856379348299008,6441.56
153077621,454,4850983630313873408,nan
98796344,455,5153091836072107136,3384.0
77228304,456,4815936868977501568,nan
89256802,457,5082415572235378816,3212.0
64071894,458,5125649915628660480,5033.0
38603673,459,4676885550423032064,6559.17
9804616,460,5167341850365479296,3323.0
4646810,461,5175239363214344960,4884.0
420049884,462,2501532267659460608,5695.6
176831592,463,5054495054996235648,6497.8
398733009,464,2462283211536460288,31000.0
270380593,465,2514360548993901312,4936.0
4616072,466,2926039005480063616,6600.0
20178111,467,2882441823242899456,5870.0
33521996,468,2966680597368750720,3749.0
33692729,469,2993561629444856960,5283.0
37770169,470,2912264564319611136,5122.0
47911178,471,2924661867160818304,6386.0
52280468,472,5583372517465364352,3364.0
52640302,473,5583523425437258240,5652.0
59843967,474,2937583121652951936,5312.0
100608026,475,2901089987127041920,3996.0
156987351,476,5552450299121421696,7451.0
170102285,477,5557345496687437696,5046.0
172464366,478,2919669912573091840,6027.0
306362738,479,2991284369063612928,5597.0
317548889,480,2992025233741516928,6212.63
339672028,481,5486322710592888064,5803.0
365639282,482,3337499827366597760,3692.0
393414358,483,5574766468155514752,5715.0
427348923,484,3220802645355817088,4421.46
427352241,485,3209651565929435904,6703.0
260708537,486,5482827676662168832,3470.0
31852980,487,4643107591144211328,nan
452866790,488,3094290054327367168,3329.0
455096220,489,3094733088793018240,6178.0
455135327,490,3096441729861716224,6338.0
468987719,491,601321985813952000,5680.35
17746821,492,3151961363348862720,6321.7
19025965,493,3151371883379694720,4138.96
19519368,494,3063507748837064064,5006.52
22529346,495,5565050255701441664,6776.0
88977253,496,3064530810048196352,6784.68
108645766,497,5611912368997873536,3301.0
121338379,498,3071584413361857280,6542.38
123702439,499,5535106156033385472,6245.0
134200185,500,5509620021956148736,4449.0
134537478,501,5560886336446650240,5875.0
172193428,502,2895678087817846912,6002.0
186812530,503,650254479499119232,7764.0
219164808,504,5549595623337686912,7214.0
268644785,505,5489780919480009472,6505.0
274138511,506,3144670226868983552,5245.0
348538431,507,5724250571514167424,3330.0
425206121,508,3142847477107193344,7440.77
453211454,509,3145754895088191744,5560.26
238086647,510,5508330367833229824,5883.0
440777904,511,3167323052618369408,6329.0
119292328,512,5574111674620962688,5336.0
431999925,513,5713325132487143424,3401.0
366576758,514,602494855483616256,4913.0
366622912,515,602466302541172736,4952.0
318937509,516,3136226527322582912,3225.0
308307606,517,5290752787819629056,5419.0
264979636,518,3148477354598384512,5891.0
218795833,519,5707485527450614656,3324.0
148479278,520,5576476552334683520,7323.0
27649847,521,649852779797683968,3465.0
19451711,522,3063302208882300544,7381.0
93125144,523,2967108303094141440,4852.0
365690646,524,3238079615160630784,6923.83
71512186,525,3017640964152888960,6400.0
200593988,526,3340056840440651648,3601.0
148228019,527,5577598363432438656,7403.0
403693875,528,3158968069917853696,4016.0
438490744,529,3358628592564415488,3181.0
387690507,530,3353218995355814656,3566.0
